"Variable","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC1_Interpretacion","PC2_Interpretacion"
"n_proyectos",0.540269807932035,-0.176085132531023,-0.0676347236132939,-0.0885282099161915,-0.104274872895339,-0.0519568878223674,-0.0341844364866866,0.0138420212902218,0.0201156360100498,0.0373810692807967,0.15884429263296,-0.0231687595443525,-0.687549781832043,0.386604358508439,"Fuerte","Débil"
"H_cfg",0.414887774354555,-0.361989041269428,0.126804665228567,0.121481284033691,0.146511708169699,0.22731469735957,-0.00658849778102802,0.0781911172022845,-0.302733663078857,0.020979123695884,0.0826225946408427,0.00682583209989948,0.58162689324326,0.386586742341089,"Moderada","Moderada"
"J_cfg",-0.204983379649579,-0.259205679772244,0.289843758995843,0.281996207187456,0.389276546197814,0.404323627262038,0.0818773215376463,0.053289927329073,-0.386417532309618,-0.0478055571595004,-0.0205840903418727,0.0596492109060596,-0.421217221824154,-0.263999744991516,"Débil","Débil"
"H_actor",0.514601153939453,-0.264734010479328,0.01428493966735,-0.100092799681662,0.0205962301019062,-0.0720261427635728,-0.0652867828426202,0.00371043980460617,0.184620050470573,0.00147692850642829,0.127164696427074,-0.0167503029119844,0.0944489030408349,-0.765200662828248,"Fuerte","Débil"
"J_actor",-0.154463435147961,-0.322610376752997,0.282503499683573,-0.0703817198172362,0.459952653144022,-0.0524713230487291,-0.034099645291471,-0.066621887929907,0.712366809083198,-0.117829397453435,-0.00624553365706036,0.0180284004327349,0.0095202452811354,0.213508620406692,"Débil","Moderada"
"ratio_media",0.301754378824778,0.446889355463811,0.101971431212645,0.125457243721317,0.102190747031358,0.10620235003473,0.05186380107122,-0.0735084743426967,0.0393514416788465,-0.774463388827114,-0.0854374784441639,0.210798541487891,0.00781394043499004,0.0119392787392324,"Moderada","Moderada"
"prop_estado_1",-0.266951792707827,-0.39453172963827,0.039171330461436,0.121659809871911,-0.421400316146687,-0.130559757860334,0.115029380204465,-0.0668459483361139,-0.0496113572614783,-0.505610118526956,0.417832141439445,-0.333860815690226,0.0164201555964833,-0.00157903802140748,"Débil","Moderada"
"prop_estado_4",0.121005782468296,0.413446412504178,0.241854619065498,0.359584935904538,-0.0221637633589519,0.299923882474556,0.0779681051864868,-0.220942029037504,0.235968887294147,0.295647206419334,0.413617826868734,-0.408186591765457,0.0221848438733077,-0.00282033059387452,"Débil","Moderada"
"prop_estado_2",0.029211221102771,-0.0782285960777313,-0.232357788293337,-0.186477551340453,0.226479983702645,-0.0662922711517296,0.43053602352335,-0.798413075810044,-0.157348895074561,0.0238955769418588,-0.00847266161953137,-0.000371089333330421,0.0186183324473343,0.00147566623301473,"Débil","Débil"
"prop_estado_3",-0.0527649174251112,0.200457149111241,-0.233646515248991,-0.476253442772839,0.490477771160548,0.000335952228424466,-0.0217571368661523,0.311580905883927,-0.172986419792714,-0.133733054447856,0.377551020682418,-0.3833950846725,0.012436847337228,0.000312426061614306,"Débil","Débil"
"prop_actor_1",-0.104254964224141,0.0309286382963786,0.264585307140477,-0.546604158181546,-0.283139317762397,0.439940961733161,0.111258801613946,-0.0247039765323267,0.0497245670556104,0.0462434238796704,0.341832262837317,0.458910939559667,0.0250480696588452,-0.00107788051659251,"Débil","Débil"
"prop_actor_2",-0.0886703541045306,-0.0470490787898119,-0.595125853003394,0.390317987032348,0.141748208411695,0.0586553061324765,-0.0262482019078528,0.0715399555773439,0.149031443595751,0.028622777669932,0.452345223296906,0.47535803516568,0.0211768356955203,-0.00124583836330501,"Débil","Débil"
"prop_actor_3",-0.0340700020007043,0.127741845093629,0.417055272128689,0.0430283907220154,0.148902993693903,-0.576438519694867,-0.358316910571695,-0.19488020480382,-0.278737348322052,0.0770690228032075,0.359989690172628,0.269360738903332,0.00476675106606938,0.0103581937584182,"Débil","Débil"
"prop_actor_4",0.0692393858550297,0.0671903944648197,0.195453588738823,0.0922072895753522,0.0365736102603731,-0.349665761845952,0.798351548378459,0.386603911907886,0.0180726206294468,0.108609064438393,0.0683434343830163,0.128941773514042,0.0112927505486195,-0.00293846406271804,"Débil","Débil"
