"cluster_pca","n_comunas","mean_n_proyectos","mean_H_cfg","mean_J_cfg","mean_H_actor","mean_J_actor","mean_ratio_media"
1,133,2.99,1.03,0.988,1.082,0.998,2.178
2,39,6.49,1.574,0.948,1.747,0.987,2.579
